datetime_of_infraction,time_of_infraction,year,month,day,infraction_code,infraction_description,set_fine_amount,location2,province,latitude,longitude,permit_time_restrictions,fee_related,time_related,plate_related,fire_route,accessible_related,commercial_related,obstruction_related,cycle_related
2016-10-08 11:14:00,11:14:00,2016,10,8,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"FRONT ST E, TORONTO, ON, CANADA",ON,43.6469432,-79.3768432,0,1,0,0,0,0,0,0,0
2016-10-11 05:10:00,05:10:00,2016,10,11,3.0,PARK ON PRIVATE PROPERTY,30,"2464 WESTON RD, TORONTO, ON, CANADA",ON,43.7080585,-79.53474139334863,1,0,0,0,0,0,0,0,0
2016-10-13 08:29:00,08:29:00,2016,10,13,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"150 DAN LECKIE WAY, TORONTO, ON, CANADA",ON,43.63979375,-79.39854654990367,0,1,0,0,0,0,0,0,0
2016-10-15 11:35:00,11:35:00,2016,10,15,29.0,PARK PROHIBITED TIME NO PERMIT,30,"PATON RD, TORONTO, ON, CANADA",ON,43.6606124,-79.4436911,1,0,1,0,0,0,0,0,0
2016-10-17 20:41:00,20:41:00,2016,10,17,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"745 DANFORTH AVE, TORONTO, ON, CANADA",ON,43.67926386923077,-79.34255371923078,0,1,0,0,0,0,0,0,0
2016-10-20 01:54:00,01:54:00,2016,10,20,3.0,PARK ON PRIVATE PROPERTY,30,"2901 BAYVIEW AVE, TORONTO, ON, CANADA",AB,43.76912785,-79.38518606927906,1,0,0,0,0,0,0,0,0
2016-10-21 23:17:00,23:17:00,2016,10,21,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"5449 YONGE ST, TORONTO, ON, CANADA",ON,43.7772986,-79.4145885,1,0,0,0,0,0,0,0,0
2016-10-24 07:55:00,07:55:00,2016,10,24,3.0,PARK ON PRIVATE PROPERTY,30,"3401 DUFFERIN ST, TORONTO, ON, CANADA",ON,43.726096850000005,-79.45498634404824,1,0,0,0,0,0,0,0,0
2016-10-26 07:22:00,07:22:00,2016,10,26,9.0,STOP-SIGNED HWY-PROHIBIT TM/DY,60,"2 BERTI ST, TORONTO, ON, CANADA",ON,43.6523339,-79.3764042,0,0,1,0,0,0,0,0,0
2016-10-28 10:39:00,10:39:00,2016,10,28,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"21 SULTAN ST, TORONTO, ON, CANADA",ON,43.668524,-79.390817,1,0,0,0,0,0,0,0,0
2016-10-30 08:09:00,08:09:00,2016,10,30,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"60 MURRAY ST, TORONTO, ON, CANADA",ON,43.658231,-79.391462,0,0,0,1,0,0,0,0,0
2016-11-01 14:02:00,14:02:00,2016,11,1,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"5 HANNA AVE, TORONTO, ON, CANADA",ON,43.63737535,-79.41833894922632,0,0,0,1,0,0,0,0,0
2016-11-03 12:39:00,12:39:00,2016,11,3,415.0,PARK COMMERC LOAD ZONE NOT LDG,40,"10 BELLAIR ST, TORONTO, ON, CANADA",ON,43.66966255,-79.39118628276641,0,0,0,0,0,0,1,0,0
2016-11-05 12:03:00,12:03:00,2016,11,5,312.0,PARKING MACH-NOT USED/NO FEE  ,30,"45 ABELL ST, TORONTO, ON, CANADA",ON,43.6419636,-79.4239387,0,1,0,0,0,0,0,0,0
2016-11-07 16:55:00,16:55:00,2016,11,7,3.0,PARK ON PRIVATE PROPERTY,30,"11 BOGERT AVE, TORONTO, ON, CANADA",ON,43.7603274,-79.4118415,1,0,0,0,0,0,0,0,0
2016-11-09 18:30:00,18:30:00,2016,11,9,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"45 DUNFIELD AVE, TORONTO, ON, CANADA",ON,43.7062732,-79.39434455437123,0,1,0,0,0,0,0,0,0
2016-11-11 19:31:00,19:31:00,2016,11,11,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"6 ELLERBECK ST, TORONTO, ON, CANADA",ON,43.6795322,-79.3568536,0,1,0,0,0,0,0,0,0
2016-11-14 04:59:00,04:59:00,2016,11,14,3.0,PARK ON PRIVATE PROPERTY,30,"75 EAST LIBERTY ST, TORONTO, ON, CANADA",ON,43.6379927,-79.41476910085089,1,0,0,0,0,0,0,0,0
2016-11-16 07:07:00,07:07:00,2016,11,16,3.0,PARK ON PRIVATE PROPERTY,30,"1070 SHEPPARD AVE W, TORONTO, ON, CANADA",ON,43.75060995,-79.46511362883757,1,0,0,0,0,0,0,0,0
2016-11-18 08:18:00,08:18:00,2016,11,18,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"FRONT ST E, TORONTO, ON, CANADA",ON,43.6469432,-79.3768432,0,1,0,0,0,0,0,0,0
2016-11-20 03:36:00,03:36:00,2016,11,20,3.0,PARK ON PRIVATE PROPERTY,30,"125 VILLAGE GREEN SQ, TORONTO, ON, CANADA",ON,43.7774165,-79.2812115,1,0,0,0,0,0,0,0,0
2016-11-22 17:18:00,17:18:00,2016,11,22,6.0,PARK-SIGNED HWY-EXC PERMT TIME,40,"DORVAL RD, TORONTO, ON, CANADA",ON,43.6578206,-79.45515,1,0,0,0,0,0,0,0,0
2016-11-24 18:09:00,18:09:00,2016,11,24,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"175 ELIZABETH ST, TORONTO, ON, CANADA",ON,43.6555265,-79.3852419,0,1,0,0,0,0,0,0,0
2016-11-26 18:26:00,18:26:00,2016,11,26,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"5 ISABELLA ST, TORONTO, ON, CANADA",ON,43.6675344,-79.3853342,1,0,0,0,0,0,0,0,0
2016-11-28 20:30:00,20:30:00,2016,11,28,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"80 MILL ST, TORONTO, ON, CANADA",ON,43.65136365,-79.35822500058737,0,1,0,0,0,0,0,0,0
2016-11-30 20:43:00,20:43:00,2016,11,30,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"150 DAN LECKIE WAY, TORONTO, ON, CANADA",ON,43.63979375,-79.39854654990367,1,0,0,0,0,0,0,0,0
2016-12-03 02:55:00,02:55:00,2016,12,3,3.0,PARK ON PRIVATE PROPERTY,30,"2230 LAKE SHORE BLVD W, TORONTO, ON, CANADA",ON,43.6213764,-79.4829458,1,0,0,0,0,0,0,0,0
2016-12-05 11:32:00,11:32:00,2016,12,5,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"7 BREADALBANE ST, TORONTO, ON, CANADA",ON,43.6635807,-79.3857263,0,1,0,0,0,0,0,0,0
2016-12-07 11:21:00,11:21:00,2016,12,7,8.0,STAND VEH.-PROHIBIT TIME/DAY,60,"200 KING ST E, TORONTO, ON, CANADA",ON,43.651419,-79.37029111995278,0,0,1,0,0,0,0,0,0
2016-12-09 10:52:00,10:52:00,2016,12,9,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"200 KING ST E, TORONTO, ON, CANADA",ON,43.651419,-79.37029111995278,1,0,0,0,0,0,0,0,0
2016-12-11 11:03:00,11:03:00,2016,12,11,3.0,PARK ON PRIVATE PROPERTY,30,"160 CHALKFARM DR, TORONTO, ON, CANADA",QC,43.7243749,-79.51466209821027,1,0,0,0,0,0,0,0,0
2016-12-13 20:32:00,20:32:00,2016,12,13,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"FRONT ST E, TORONTO, ON, CANADA",ON,43.6469432,-79.3768432,0,1,0,0,0,0,0,0,0
2016-12-16 12:30:00,12:30:00,2016,12,16,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"20 EDWARD ST, TORONTO, ON, CANADA",ON,43.6570527,-79.38232911738083,0,1,0,0,0,0,0,0,0
2016-12-19 17:46:00,17:46:00,2016,12,19,15.0,PARK-WITHIN 3M OF FIRE HYDRANT,100,"56 TEMPERANCE ST, TORONTO, ON, CANADA",ON,43.650509,-79.381733,0,0,0,0,1,0,0,0,0
2016-12-21 17:58:00,17:58:00,2016,12,21,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"20 EDWARD ST, TORONTO, ON, CANADA",ON,43.6570527,-79.38232911738083,0,1,0,0,0,0,0,0,0
2016-12-23 16:16:00,16:16:00,2016,12,23,403.0,STOP-SIGNED HIGHWAY-RUSH HOUR,150,"341 BROADVIEW AVE, TORONTO, ON, CANADA",ON,43.6648429,-79.3522313,0,0,1,0,0,0,0,0,0
2016-12-28 07:21:00,07:21:00,2016,12,28,9.0,STOP-SIGNED HWY-PROHIBIT TM/DY,60,"20 LOMBARD ST, TORONTO, ON, CANADA",ON,43.65155564705883,-79.37684123529412,0,0,1,0,0,0,0,0,0
2016-12-30 00:05:00,00:05:00,2016,12,30,29.0,PARK PROHIBITED TIME NO PERMIT,30,"11 IRWIN AVE, TORONTO, ON, CANADA",ON,43.666465599999995,-79.3858608,1,0,1,0,0,0,0,0,0
2016-04-30 15:28:00,15:28:00,2016,4,30,29.0,PARK PROHIBITED TIME NO PERMIT,30,"61 WALES AVE, TORONTO, ON, CANADA",ON,43.65273856666666,-79.40379623333334,1,0,1,0,0,0,0,0,0
2016-05-03 00:37:00,00:37:00,2016,5,3,29.0,PARK PROHIBITED TIME NO PERMIT,30,"482 HURON ST, TORONTO, ON, CANADA",ON,43.667880454545454,-79.40194536363636,1,0,1,0,0,0,0,0,0
2016-05-04 21:18:00,21:18:00,2016,5,4,3.0,PARK ON PRIVATE PROPERTY,30,"75 THORNCLIFFE PARK DR, TORONTO, ON, CANADA",ON,43.7049593,-79.3419739,1,0,0,0,0,0,0,0,0
2016-05-06 19:00:00,19:00:00,2016,5,6,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"27 BELSIZE DR, TORONTO, ON, CANADA",ON,43.70050823333334,-79.39550953333332,1,0,0,0,0,0,0,0,0
2016-05-09 07:25:00,07:25:00,2016,5,9,6.0,PARK-SIGNED HWY-EXC PERMT TIME,40,"72 AUGUSTA AVE, TORONTO, ON, CANADA",AZ,43.6502395,-79.400659,1,0,0,0,0,0,0,0,0
2016-05-11 02:32:00,02:32:00,2016,5,11,3.0,PARK ON PRIVATE PROPERTY,30,"70 FOREST MANOR RD, TORONTO, ON, CANADA",ON,43.7750174,-79.3461257,1,0,0,0,0,0,0,0,0
2016-05-12 23:33:00,23:33:00,2016,5,12,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"CLINTON ST, TORONTO, ON, CANADA",ON,43.6555935,-79.4140112,1,0,0,0,0,0,0,0,0
2016-05-14 23:48:00,23:48:00,2016,5,14,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"199 RICHMOND ST W, TORONTO, ON, CANADA",QC,43.649487449999995,-79.38813072888891,0,1,0,0,0,0,0,0,0
2016-05-17 11:10:00,11:10:00,2016,5,17,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"650 CHURCH ST, TORONTO, ON, CANADA",ON,43.6528199,-79.3756056,1,0,0,0,0,0,0,0,0
2016-05-19 11:01:00,11:01:00,2016,5,19,3.0,PARK ON PRIVATE PROPERTY,30,"6 SPRING GARDEN AVE, TORONTO, ON, CANADA",ON,43.76468275,-79.41104447849774,1,0,0,0,0,0,0,0,0
2016-05-21 14:28:00,14:28:00,2016,5,21,8.0,STAND VEH.-PROHIBIT TIME/DAY,60,"BAY ST, TORONTO, ON, CANADA",ON,43.6412835,-79.3769322,0,0,1,0,0,0,0,0,0
2016-05-24 13:51:00,13:51:00,2016,5,24,134.0,PARK-SIGNED HWY-PUBLIC LANE,40,"BLOOR ST W, TORONTO, ON, CANADA",ON,43.6496142,-79.483776,0,0,0,0,0,0,0,0,0
2016-05-26 15:15:00,15:15:00,2016,5,26,403.0,STOP-SIGNED HIGHWAY-RUSH HOUR,150,"560 KING ST W, TORONTO, ON, CANADA",ON,43.644071,-79.4019476,0,0,1,0,0,0,0,0,0
2016-05-28 15:05:00,15:05:00,2016,5,28,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"128 CUMBERLAND ST, TORONTO, ON, CANADA",ON,43.6702036,-79.3921998,0,1,0,0,0,0,0,0,0
2016-05-30 19:32:00,19:32:00,2016,5,30,29.0,PARK PROHIBITED TIME NO PERMIT,30,"111 SUNNYSIDE AVE, TORONTO, ON, CANADA",ON,43.64114655,-79.44913220930616,1,0,1,0,0,0,0,0,0
2016-06-01 20:01:00,20:01:00,2016,6,1,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"494 EGLINTON AVE W, TORONTO, ON, CANADA",ON,43.70378009411765,-79.41302763529411,0,0,0,1,0,0,0,0,0
2016-06-03 20:37:00,20:37:00,2016,6,3,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"125 BURNABY BLVD, TORONTO, ON, CANADA",ON,43.7046259,-79.4120834,0,1,0,0,0,0,0,0,0
2016-06-06 11:12:00,11:12:00,2016,6,6,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"170 ELIZABETH ST, TORONTO, ON, CANADA",ON,43.657087,-79.386051,0,1,0,0,0,0,0,0,0
2016-06-08 13:10:00,13:10:00,2016,6,8,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"96 WALTON ST, TORONTO, ON, CANADA",ON,43.658021,-79.385574,0,1,0,0,0,0,0,0,0
2016-06-10 15:10:00,15:10:00,2016,6,10,403.0,STOP-SIGNED HIGHWAY-RUSH HOUR,150,"27 COLLEGE ST, TORONTO, ON, CANADA",ON,43.660838887500006,-79.38501258125,0,0,1,0,0,0,0,0,0
2016-06-13 02:15:00,02:15:00,2016,6,13,3.0,PARK ON PRIVATE PROPERTY,30,"25 SAN ROMANOWAY, TORONTO, ON, CANADA",ON,43.7596616,-79.51696007711863,1,0,0,0,0,0,0,0,0
2016-06-15 07:58:00,07:58:00,2016,6,15,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"PEARL ST, TORONTO, ON, CANADA",ON,43.6484537,-79.3843215,1,0,0,0,0,0,0,0,0
2016-06-17 09:47:00,09:47:00,2016,6,17,29.0,PARK PROHIBITED TIME NO PERMIT,30,"117 PEMBROKE ST, TORONTO, ON, CANADA",ON,43.660318,-79.373158,1,0,1,0,0,0,0,0,0
2016-06-19 15:46:00,15:46:00,2016,6,19,3.0,PARK ON PRIVATE PROPERTY,30,"4936 YONGE ST, TORONTO, ON, CANADA",ON,43.76463,-79.411895,1,0,0,0,0,0,0,0,0
2016-06-21 22:31:00,22:31:00,2016,6,21,415.0,PARK COMMERC LOAD ZONE NOT LDG,40,"SIMCOE ST, TORONTO, ON, CANADA",ON,43.6554459,-79.3895253,0,0,0,0,0,0,1,0,0
2016-06-24 11:02:00,11:02:00,2016,6,24,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"150 YORK ST, TORONTO, ON, CANADA",ON,43.649284,-79.384275,1,0,0,0,0,0,0,0,0
2016-06-26 17:40:00,17:40:00,2016,6,26,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"WALNUT AVE, TORONTO, ON, CANADA",ON,43.6442031,-79.4100215,1,0,0,0,0,0,0,0,0
2016-06-28 21:38:00,21:38:00,2016,6,28,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"2055 YONGE ST, TORONTO, ON, CANADA",ON,43.7020516,-79.3971481,0,1,0,0,0,0,0,0,0
2016-07-01 00:36:00,00:36:00,2016,7,1,29.0,PARK PROHIBITED TIME NO PERMIT,30,"70 CARR ST, TORONTO, ON, CANADA",QC,43.6494352,-79.40363230772886,1,0,1,0,0,0,0,0,0
2016-07-03 22:05:00,22:05:00,2016,7,3,29.0,PARK PROHIBITED TIME NO PERMIT,30,"75 MCGILL ST, TORONTO, ON, CANADA",ON,43.660527821428566,-79.37907342857143,1,0,1,0,0,0,0,0,0
2016-07-06 07:30:00,07:30:00,2016,7,6,31.0,STOP-ROAD SIDE-STOP/PARK VEH.,150,"20 EDWARD ST, TORONTO, ON, CANADA",ON,43.6570527,-79.38232911738083,0,0,0,0,0,0,0,0,0
2016-07-08 11:18:00,11:18:00,2016,7,8,3.0,PARK ON PRIVATE PROPERTY,30,"5 HANNA AVE, TORONTO, ON, CANADA",ON,43.63737535,-79.41833894922632,1,0,0,0,0,0,0,0,0
2016-07-10 22:29:00,22:29:00,2016,7,10,29.0,PARK PROHIBITED TIME NO PERMIT,30,"FREDERICK ST, TORONTO, ON, CANADA",ON,43.6511052,-79.3695073,1,0,1,0,0,0,0,0,0
2016-07-13 05:27:00,05:27:00,2016,7,13,3.0,PARK ON PRIVATE PROPERTY,30,"75 EAST LIBERTY ST, TORONTO, ON, CANADA",ON,43.6379927,-79.41476910085089,1,0,0,0,0,0,0,0,0
2016-07-15 04:44:00,04:44:00,2016,7,15,2.0,PARK - LONGER THAN 3 HOURS ,15,"220 MANITOBA ST, TORONTO, ON, CANADA",ON,43.62402324999999,-79.49054440386078,0,0,1,0,0,0,0,0,0
2016-07-17 09:47:00,09:47:00,2016,7,17,8.0,STAND VEH.-PROHIBIT TIME/DAY,60,"38 JOE SHUSTER WAY, TORONTO, ON, CANADA",ON,43.6404401,-79.42457159222741,0,0,1,0,0,0,0,0,0
2016-07-19 15:37:00,15:37:00,2016,7,19,415.0,PARK COMMERC LOAD ZONE NOT LDG,40,"128 CUMBERLAND ST, TORONTO, ON, CANADA",ON,43.6702036,-79.3921998,0,0,0,0,0,0,1,0,0
2016-07-21 15:58:00,15:58:00,2016,7,21,3.0,PARK ON PRIVATE PROPERTY,30,"70 EDWARD ST, TORONTO, ON, CANADA",ON,43.6566007,-79.3831637,1,0,0,0,0,0,0,0,0
2016-07-24 00:45:00,00:45:00,2016,7,24,29.0,PARK PROHIBITED TIME NO PERMIT,30,"MONTROSE AVE, TORONTO, ON, CANADA",ON,43.6570604,-79.4195773,1,0,1,0,0,0,0,0,0
2016-07-26 13:11:00,13:11:00,2016,7,26,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"WELLINGTON ST W, TORONTO, ON, CANADA",ON,43.6418702,-79.405991,1,0,0,0,0,0,0,0,0
2016-07-28 17:50:00,17:50:00,2016,7,28,5.0,PARK-SIGNED HWY-PROHIBIT DY/TM,50,"5140 YONGE ST, TORONTO, ON, CANADA",ON,43.768298,-79.413896,1,0,0,0,0,0,0,0,0
2016-07-30 23:44:00,23:44:00,2016,7,30,29.0,PARK PROHIBITED TIME NO PERMIT,30,"120 MAITLAND ST, TORONTO, ON, CANADA",ON,43.66532925,-79.37860945381635,1,0,1,0,0,0,0,0,0
2016-08-02 15:05:00,15:05:00,2016,8,2,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"55 CENTRE AVE, TORONTO, ON, CANADA",ON,43.6544937,-79.3866913,0,1,0,0,0,0,0,0,0
2016-08-04 16:53:00,16:53:00,2016,8,4,363.0,PARK ONSTRT ACCESSIBLE NO PRMT,450,"56 GLENDALE AVE, TORONTO, ON, CANADA",ON,43.640908,-79.45146294356815,0,0,0,0,0,1,0,0,0
2016-08-07 00:06:00,00:06:00,2016,8,7,29.0,PARK PROHIBITED TIME NO PERMIT,30,"WESTERN BATTERY RD, TORONTO, ON, CANADA",ON,43.6400067,-79.4140823,1,0,1,0,0,0,0,0,0
2016-08-09 12:34:00,12:34:00,2016,8,9,192.0,STAND SIGNED TRANSIT STOP,150,"1029 KING ST W, TORONTO, ON, CANADA",ON,43.6412085,-79.415322,0,0,0,0,0,0,0,1,0
2016-08-11 19:01:00,19:01:00,2016,8,11,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"2518 YONGE ST, TORONTO, ON, CANADA",ON,43.71248014545454,-79.39977568181818,0,1,0,0,0,0,0,0,0
2016-08-13 22:50:00,22:50:00,2016,8,13,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"DUNCAN ST, TORONTO, ON, CANADA",ON,43.6488755,-79.3889165,0,0,0,1,0,0,0,0,0
2016-08-16 10:56:00,10:56:00,2016,8,16,8.0,STAND VEH.-PROHIBIT TIME/DAY,60,"65 BREMNER BLVD, TORONTO, ON, CANADA",ON,43.6427942,-79.38058501407745,0,0,1,0,0,0,0,0,0
2016-08-18 12:26:00,12:26:00,2016,8,18,9.0,STOP-SIGNED HWY-PROHIBIT TM/DY,60,"1273 ST CLAIR AVE W, TORONTO, ON, CANADA",ON,43.676845683333326,-79.44712603333333,0,0,1,0,0,0,0,0,0
2016-08-20 14:45:00,14:45:00,2016,8,20,406.0,PARK-VEH. W/O VALID ONT PLATE,40,"44 BALLIOL ST, TORONTO, ON, CANADA",ON,43.69796735,-79.39507090374025,0,0,0,1,0,0,0,0,0
2016-08-22 21:01:00,21:01:00,2016,8,22,312.0,PARKING MACH-NOT USED/NO FEE  ,30,"23 BEDFORD PARK AVE, TORONTO, ON, CANADA",ON,43.7267862,-79.40367855622418,0,1,0,0,0,0,0,0,0
2016-08-25 00:13:00,00:13:00,2016,8,25,3.0,PARK ON PRIVATE PROPERTY,30,"21 BALMUTO ST, TORONTO, ON, CANADA",ON,43.66914895,-79.38736372648393,1,0,0,0,0,0,0,0,0
2016-01-02 13:07:00,13:07:00,2016,1,2,8.0,STAND VEH.-PROHIBIT TIME/DAY,60,"229 MANOR RD E, TORONTO, ON, CANADA",ON,43.7043599,-79.3878854,0,0,1,0,0,0,0,0,0
2016-01-04 20:14:00,20:14:00,2016,1,4,207.0,PARK MACHINE-REQD FEE NOT PAID,30,"30 BOND ST, TORONTO, ON, CANADA",ON,43.6536408,-79.37780684414469,0,1,0,0,0,0,0,0,0
2016-01-07 07:59:00,07:59:00,2016,1,7,29.0,PARK PROHIBITED TIME NO PERMIT,30,"34 GLENDALE AVE, TORONTO, ON, CANADA",ON,43.64049885,-79.45146635997993,1,0,1,0,0,0,0,0,0
2016-01-09 03:20:00,03:20:00,2016,1,9,3.0,PARK ON PRIVATE PROPERTY,30,"125 VILLAGE GREEN SQ, TORONTO, ON, CANADA",BC,43.7774165,-79.2812115,1,0,0,0,0,0,0,0,0
2016-01-11 11:46:00,11:46:00,2016,1,11,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"3 WENDOVER RD, TORONTO, ON, CANADA",ON,43.6488214,-79.5066383,0,1,0,0,0,0,0,0,0
2016-01-13 16:53:00,16:53:00,2016,1,13,312.0,PARKING MACH-NOT USED/NO FEE  ,30,"13 ISABELLA ST, TORONTO, ON, CANADA",ON,43.667649,-79.384784,0,1,0,0,0,0,0,0,0
2016-01-15 20:15:00,20:15:00,2016,1,15,210.0,PARK FAIL TO DISPLAY RECEIPT,30,"2100 BLOOR ST W, TORONTO, ON, CANADA",ON,43.6523743,-79.4713453,0,1,0,0,0,0,0,0,0
